Gen, Patch, NumGrabbers, NumStingers, MaxSpeed, MaxRotation, GrabberPref
2,2,1,0,42.00413,125.5609,0.5
2,2,1,0,13.17378,95.20401,0.5
2,2,1,0,33.53673,141.3131,0.5
2,2,1,0,42.00413,125.5609,0.5
2,2,2,0,45.51161,169.8277,0.5
2,3,1,0,33.53673,141.3131,0.5
2,3,1,0,42.00413,125.5609,0.5
2,3,1,0,42.00413,125.5609,0.5
2,3,2,0,45.51161,169.8277,0.5
2,3,1,0,15.87513,101.7361,0.5
2,3,1,0,42.00413,125.5609,0.5
2,3,1,0,15.87513,101.7361,0.5
2,3,1,0,13.17378,95.20401,0.5
2,3,1,0,13.17378,95.20401,0.5
2,3,1,0,33.53673,141.3131,0.5
2,3,1,0,13.17378,95.20401,0.5
2,3,2,0,45.51161,169.8277,0.5
2,4,1,0,42.00413,125.5609,0.5
2,4,2,0,33.53673,141.3131,0.5
2,4,1,0,42.00413,125.5609,0.5
2,4,1,0,42.00413,125.5609,0.4964558
2,4,0,1,42.00413,125.5609,0.5
2,4,1,0,15.87513,101.7361,0.5
2,4,1,0,42.00413,125.5609,0.5
2,4,1,0,15.87513,101.7361,0.5
2,4,1,0,15.87513,101.7361,0.5
2,4,1,0,15.87513,101.7361,0.5
2,4,1,0,33.53673,141.3131,0.5
2,4,1,0,42.00413,125.5609,0.5
2,5,1,0,41.68079,158.1566,0.5
2,5,1,0,33.53673,141.3131,0.5
2,5,1,0,15.87513,101.7361,0.5
2,5,1,0,13.17378,95.20401,0.5
2,5,1,0,33.53673,141.3131,0.5
2,5,1,0,33.53673,141.3131,0.5
2,5,1,0,41.68079,158.1566,0.5
2,5,2,0,45.51161,169.8277,0.5
2,5,1,0,42.00413,125.5609,0.5
2,5,1,0,13.17378,95.20401,0.5
2,5,1,0,33.53673,141.3131,0.5
2,5,1,0,42.00413,125.5609,0.5
2,6,1,0,33.53673,141.3131,0.5
2,6,1,0,42.00413,125.5609,0.5
2,6,1,0,13.17378,95.20401,0.5
2,6,1,0,42.00413,125.5609,0.5
2,6,1,0,42.00413,125.5609,0.5
2,6,1,0,15.87513,101.7361,0.5
2,6,1,0,13.17378,95.20401,0.5
2,6,2,0,45.51161,169.8277,0.5
2,6,1,0,33.53673,141.3131,0.5
2,6,1,0,41.68079,158.1566,0.5
2,6,1,0,33.53673,141.3131,0.5
2,6,1,0,13.17378,95.20401,0.5
2,7,1,0,42.00413,125.5609,0.5
2,7,1,0,33.53673,151.9129,0.5
2,7,1,0,42.00413,125.5609,0.5
2,7,2,0,45.51161,169.8277,0.5
2,7,1,0,15.87513,101.7361,0.5
2,7,1,0,33.53673,141.3131,0.5
2,7,1,0,15.87513,101.7361,0.5
2,7,1,0,42.00413,125.5609,0.5
2,7,1,0,42.00413,125.5609,0.5
2,7,1,0,42.00413,125.5609,0.5
2,7,2,0,45.51161,169.8277,0.5
2,7,1,0,42.00413,125.5609,0.5
2,8,1,0,15.87513,101.7361,0.5
2,8,1,0,33.53673,141.3131,0.5
2,8,1,0,41.68079,158.1566,0.5
2,8,1,0,42.00413,125.5609,0.5
2,8,1,0,15.87513,101.7361,0.5
2,8,1,0,15.87513,176.8283,0.5
2,8,1,0,42.00413,125.5609,0.5
2,8,1,0,42.00413,125.5609,0.5
2,8,2,0,45.51161,169.8277,0.5
2,8,0,1,42.00413,125.5609,0.5
2,8,1,0,15.87513,101.7361,0.5
2,8,1,0,15.87513,101.7361,0.5
2,9,1,0,15.87513,101.7361,0.5
2,9,1,0,33.53673,141.3131,0.5
2,9,1,0,33.53673,141.3131,0.5
2,9,1,0,42.00413,125.5609,0.5
2,9,2,0,45.51161,169.8277,0.5
2,9,2,0,45.51161,169.8277,0.5
2,9,2,0,42.00413,125.5609,0.5
2,9,1,0,33.53673,141.3131,0.5
2,9,1,0,42.00413,125.5609,0.5
2,9,2,0,45.51161,169.8277,0.5
2,9,1,0,15.87513,101.7361,0.5
2,9,1,0,33.53673,141.3131,0.5
3,0,2,0,45.51161,169.8277,0.5
3,0,2,0,45.51161,169.8277,0.5
3,0,2,0,45.51161,169.8277,0.5
3,0,2,0,33.53673,141.3131,0.5
3,0,1,0,33.53673,141.3131,0.5
3,0,1,0,33.53673,141.3131,0.5
3,0,2,0,45.51161,169.8277,0.5
3,0,2,0,45.51161,169.8277,0.5
3,0,1,0,33.53673,141.3131,0.5
3,0,2,0,45.51161,169.8277,0.5
3,0,2,0,45.51161,169.8277,0.5
3,0,2,0,45.51161,169.8277,0.5
3,1,2,0,45.51161,169.8277,0.5
3,1,2,0,45.51161,169.8277,0.5
3,1,1,0,33.53673,141.3131,0.5
3,1,2,0,45.51161,169.8277,0.5
3,1,1,0,45.51161,169.8277,0.5
3,1,2,0,45.51161,169.8277,0.5
3,1,2,0,33.53673,141.3131,0.5
3,1,1,0,41.68079,158.1566,0.5
3,1,2,0,33.53673,141.3131,0.5
3,1,2,0,33.53673,141.3131,0.5
